>>>>>>>>>> Start item : ../data/Leeds.mp4
::: Run time Settings : {'Config load': 1, 'Config update': {'General': 1, 'Visualizer': 1, 'Figure': 1, 'Heatmap': 1, 'System': 1, 'Calibration': 0, 'Detector': 1}, 'Config save': 1}
:::::: Start File Checking ...
:: Loading Data and Configrations ...
: Background Found.
: Satellite Map Found.
: Visual Map Found.
: Road Mask Found.
: Road Boarder Found.
::: Camera size : (1920, 1080), Region of Interest : (1920, 1080),  Environment size :(1028, 1048)

 <<< Model is running on CUDA GPU >>> 

::: Configration Saved.
type: person vehicle id: 20 position: 1383 296
type: person vehicle id: 19 position: 110 513
type: car vehicle id: 18 position: 35 122
type: car vehicle id: 17 position: 1854 326
type: person vehicle id: 16 position: 161 466
type: car vehicle id: 15 position: 462 21
type: person vehicle id: 14 position: 1282 282
type: car vehicle id: 12 position: 1631 244
type: person vehicle id: 11 position: 1488 357
type: person vehicle id: 10 position: 177 243
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 7 position: 429 232
type: person vehicle id: 6 position: 376 173
type: person vehicle id: 3 position: 1348 285
type: person vehicle id: 56 position: 1207 321
type: person vehicle id: 53 position: 550 521
type: person vehicle id: 48 position: 1143 228
type: person vehicle id: 45 position: 1882 481
type: person vehicle id: 42 position: 362 324
type: car vehicle id: 39 position: 1401 186
type: car vehicle id: 38 position: 802 138
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 732 881
type: person vehicle id: 35 position: 509 538
type: person vehicle id: 34 position: 531 415
type: car vehicle id: 33 position: 933 179
type: car vehicle id: 32 position: 593 10
type: car vehicle id: 31 position: 574 67
type: person vehicle id: 30 position: 700 524
type: car vehicle id: 29 position: 691 70
type: person vehicle id: 28 position: 424 310
type: car vehicle id: 27 position: 776 231
type: person vehicle id: 26 position: 695 859
type: person vehicle id: 25 position: 388 317
type: person vehicle id: 23 position: 285 314
type: person vehicle id: 22 position: 336 331
type: person vehicle id: 20 position: 1385 295
type: person vehicle id: 19 position: 107 512
type: car vehicle id: 18 position: 36 122
type: car vehicle id: 17 position: 1854 327
type: person vehicle id: 16 position: 161 466
type: car vehicle id: 15 position: 463 21
type: person vehicle id: 14 position: 1283 284
type: car vehicle id: 12 position: 1631 244
type: person vehicle id: 11 position: 1488 357
type: person vehicle id: 10 position: 179 243
type: person vehicle id: 9 position: 1441 337
type: person vehicle id: 7 position: 428 234
type: person vehicle id: 6 position: 376 174
type: person vehicle id: 3 position: 1345 283
type: person vehicle id: 56 position: 1215 324
type: person vehicle id: 53 position: 550 519
type: person vehicle id: 48 position: 1144 228
type: person vehicle id: 45 position: 1884 483
type: person vehicle id: 42 position: 362 323
type: car vehicle id: 39 position: 1401 186
type: car vehicle id: 38 position: 804 141
type: car vehicle id: 37 position: 1030 214
type: person vehicle id: 36 position: 732 882
type: person vehicle id: 35 position: 507 538
type: person vehicle id: 34 position: 533 417
type: car vehicle id: 33 position: 933 179
type: car vehicle id: 32 position: 594 10
type: car vehicle id: 31 position: 574 65
type: person vehicle id: 30 position: 701 525
type: car vehicle id: 29 position: 692 70
type: person vehicle id: 28 position: 423 309
type: car vehicle id: 27 position: 774 232
type: person vehicle id: 26 position: 695 859
type: person vehicle id: 25 position: 387 317
type: person vehicle id: 23 position: 284 315
type: person vehicle id: 22 position: 336 330
type: person vehicle id: 20 position: 1385 295
type: person vehicle id: 19 position: 105 511
type: car vehicle id: 18 position: 36 122
type: car vehicle id: 17 position: 1854 327
type: person vehicle id: 16 position: 161 467
type: car vehicle id: 15 position: 463 21
type: person vehicle id: 14 position: 1285 282
type: car vehicle id: 12 position: 1631 245
type: person vehicle id: 11 position: 1488 357
type: person vehicle id: 10 position: 180 243
